province_id,province_t,province_e,long,lat
1,กรุงเทพมหานคร,Bangkok,100.593,13.925
2,กระบี่,Krabi,98.676,8.049
3,กาญจนบุรี,Kanchanaburi,99.503,14.035
4,กาฬสินธุ์,Kalasin,103.522,16.437
5,กำแพงเพชร,Kamphaengphet,99.528,16.473
6,ขอนแก่น,Khon Kaen,102.931,16.516
7,จันทบุรี,Chanthaburi,102.105,12.611
8,ฉะเชิงเทรา,Chachoengsao,101.1,13.707
9,ชลบุรี,Chonburi,100.99,13.376
10,ชัยนาท,Chai Nat,100.127,15.181
11,ชัยภูมิ,Chaiyaphum,102.022,15.742
12,ชุมพร,Chumphon,99.403,10.459
13,เชียงราย,Chiang Rai,99.832,19.907
14,เชียงใหม่,Chiang Mai,98.985,18.785
15,ตรัง,Trang,99.664,7.599
16,ตราด,Trat,102.562,12.078
17,ตาก,Tak,99.129,16.862
18,นครนายก,Nakhon Nayok,101.219,14.204
19,นครปฐม,Nakhon Pathom,100.05,13.819
20,นครพนม,Nakhon Phanom,104.781,17.409
21,นครราชสีมา,Nakhon Ratchasima,102.164,14.98
22,นครศรีธรรมราช,Nakhon Si Thammarat,99.966,8.434
23,นครสวรรค์,Nakhon Sawan,100.14,15.734
24,นนทบุรี,Nonthaburi,100.492,13.823
25,นราธิวาส,Narathiwat,101.82,6.424
26,น่าน,Nan,100.786,18.793
27,บึงกาฬ,Bueng Kan,103.508,18.403
28,บุรีรัมย์,Buriram,103.104,14.999
29,ปทุมธานี,Pathum Thani,100.552,14.031
30,ประจวบคีรีขันธ์,Prachuap Khiri Khan,99.784,11.805
31,ปราจีนบุรี,Prachin Buri,101.374,14.057
32,ปัตตานี,Pattani,101.256,6.87
33,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,100.595,14.334
34,พะเยา,Phayao,99.894,19.172
35,พังงา,Phang nga,98.524,8.446
36,พัทลุง,Phatthalung,100.05,7.589
37,พิจิตร,Phitsanulok,100.343,16.443
38,พิษณุโลก,Phitsanulok,100.25,16.789
39,เพชรบุรี,Phetchaburi,99.9,13.121
40,เพชรบูรณ์,Phetchabun,101.156,16.42
41,แพร่,Phrae,100.142,18.14
42,ภูเก็ต,Phuket,98.455,7.924
43,มหาสารคาม,Maha Sarakham,103.484,16.162
44,มุกดาหาร,Mukdahan,104.724,16.53
45,แม่ฮ่องสอน,Mae Hong Son,97.97,19.302
46,ยโสธร,Yasothon,104.148,15.799
47,ยะลา,Yala,101.181,6.523
48,ร้อยเอ็ด,Roi Et,103.653,16.051
49,ระนอง,Ranong,98.442,9.877
50,ระยอง,Rayong,101.171,12.646
51,ราชบุรี,Ratchaburi,99.796,13.593
52,ลพบุรี,Lopburi,100.611,14.802
53,ลำปาง,Lampang,99.492,18.29
54,ลำพูน,Lamphun,99.002,18.573
55,เลย,Loei,101.732,17.493
56,ศรีสะเกษ,Sisaket,104.369,15.015
57,สกลนคร,Sakon Nakhon,104.26,17.125
58,จ. สงขลา,Songkhla,100.588,7.105
59,สตูล,Satun,99.706,6.546
60,สมุทรปราการ,Samut Prakan,100.565,13.623
61,สมุทรสงคราม,Samut Songkhram,99.976,13.399
62,สมุทรสาคร,Samut Sakhon,100.276,13.533
63,สระแก้ว,Sa Kaeo,102.077,13.803
64,สระบุรี,Saraburi,100.886,14.529
65,สิงห์บุรี,Sing Buri,100.404,14.89
66,สุโขทัย,Sukhothai,99.822,17.012
67,สุพรรณบุรี,Suphan Buri,100.116,14.471
68,สุราษฎร์ธานี,Surat Thani,99.32,9.137
69,สุรินทร์,Surin,103.49,14.884
70,หนองคาย,Nong Khai,102.761,17.89
71,หนองบัวลำภู,Nong Bua Lamphu,102.44,17.243
72,อ่างทอง,Ang Thong,100.459,14.588
73,อำนาจเจริญ,Amnat Charoen,104.562,15.823
74,อุดรธานี,Udon Thani,102.792,17.411
75,อุตรดิตถ์,Uttaradit,100.079,17.613
76,อุทัยธานี,Uthai Thani,99.963,15.455
77,อุบลราชธานี,Ubon Ratchathani,104.894,15.244
78,,Unknown,,
